comarca;poblacio
ALT CAMP;44864
ALT EMPORDA;139359
ALT PENEDES;109784
ALT URGELL;20009
ALTA RIBAGORÇA;3856
ANOIA;123117
BAGES;179151
BAIX CAMP;195259
BAIX EBRE;77908
BAIX EMPORDA;133682
BAIX LLOBREGAT;828522
BAIX PENEDES;107156
BARCELONES;2294614
BERGUEDA;39831
CERDANYA;18396
CONCA DE BARBERA;19811
GARRAF;150164
GARRIGUES;18980
GARROTXA;57493
GIRONES;191483
MARESME;453212
MOIANÈS;13801
MONTSIA;69160
NOGUERA;38569
OSONA;161701
PALLARS JUSSA;13051
PALLARS SOBIRA;6902
PLA D'URGELL;37277
PLA DE L'ESTANY;32415
PRIORAT;9133
RIBERA D'EBRE;21647
RIPOLLES;25073
SEGARRA;22820
SEGRIA;208799
SELVA;171091
SOLSONES;13742
TARRAGONES;262488
TERRA ALTA;11271
URGELL;36965
VALL D'ARAN;10038
VALLES OCCIDENTAL;936172
VALLES ORIENTAL;413437
