comarca;de_0_a_19;de_20_a_39;de_40_a_69;de_70_o_mes;poblacio_total
ALT CAMP;9304;10136;19013;6242;44695
ALT EMPORDA;30086;34074;59388;19076;142624
ALT PENEDES;24638;23800;47093;14075;109606
ALT URGELL;3576;4475;8894;3286;20231
ALTA RIBAGORÇA;680;847;1724;574;3825
ANOIA;27215;27463;52063;16283;123024
BAGES;37503;39966;76203;26903;180575
BAIX CAMP;43067;44315;82152;24593;194127
BAIX EBRE;15129;17325;32482;13075;78011
BAIX EMPORDA;27505;30750;58417;19133;135805
BAIX LLOBREGAT;179308;189106;357491;108748;834653
BAIX PENEDES;22646;23854;46381;14922;107803
BARCELONES;403187;625906;921889;363638;2314620
BERGUEDA;7064;8462;17142;7312;39980
CERDANYA;3493;4474;8217;2341;18525
CONCA DE BARBERA;3789;4259;8598;3301;19947
GARRAF;31475;32952;68890;19484;152801
GARRIGUES;3294;4004;7870;3705;18873
GARROTXA;11697;13820;24248;8855;58620
GIRONES;45871;51343;78542;21348;197104
MARESME;96190;101926;198844;61666;458626
MOIANÈS;2816;3013;6082;2008;13919
MONTSIA;13350;15196;28852;10865;68263
NOGUERA;7581;8865;16246;6440;39132
OSONA;35076;39088;68300;21238;163702
PALLARS JUSSA;2187;2923;5561;2556;13227
PALLARS SOBIRA;1176;1582;3152;1020;6930
PLA D'URGELL;7730;8430;15253;5324;36737
PLA DE L'ESTANY;7407;7677;13316;4237;32637
PRIORAT;1460;1875;3991;1834;9160
RIBERA D'EBRE;3677;4788;9367;4038;21870
RIPOLLES;4301;5031;11166;4755;25253
SEGARRA;4988;5639;9633;3058;23318
SEGRIA;43408;50540;89743;28149;211840
SELVA;36131;41406;75031;22070;174638
SOLSONES;2760;2987;5655;2111;13513
TARRAGONES;56086;64218;109643;31519;261466
TERRA ALTA;1856;2313;4671;2590;11430
URGELL;7819;8488;15313;5496;37116
VALL D'ARAN;1833;2644;4679;1019;10175
VALLES OCCIDENTAL;209218;219559;395552;113179;937508
VALLES ORIENTAL;90708;94068;179372;50422;414570
Font: http://www.idescat.cat/pub/?id=pmh&n=9548&by=com&col=3;;;;;
